('Basic Average Shares', '15,236,773.25', '15,343,783.00', '15,744,231.00', '16,215,963.00', '16,701,272.00')
         786083 function calls (761968 primitive calls) in 1.314 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      428    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      427    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      418    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      418    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      418    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      414    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      414    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
      403    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      400    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      391    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      390    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      342    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
      336    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      333    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
      319    0.002    0.000    0.108    0.000 __init__.py:280(_compile)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      310    0.000    0.000    0.108    0.000 __init__.py:226(compile)
      309    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      307    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      306    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      306    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      306    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      306    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      305    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    300/1    0.007    0.000    1.315    1.315 {built-in method builtins.exec}
      291    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      286    0.000    0.000    0.748    0.003 ssl.py:1095(read)
      286    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      286    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      286    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      286    0.001    0.000    0.750    0.003 sync.py:124(read)
      286    0.000    0.000    0.000    0.000 _connection.py:352(receive_data)
      286    0.748    0.003    0.748    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      286    0.000    0.000    0.748    0.003 ssl.py:1226(recv)
      281    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
      276    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      272    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      267    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    266/7    0.001    0.000    0.244    0.035 <frozen importlib._bootstrap>:1349(_find_and_load)
    265/6    0.001    0.000    0.244    0.041 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      265    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      265    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      263    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      260    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      260    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      253    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      249    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      249    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
      248    0.000    0.000    0.000    0.000 _state.py:318(_fire_state_triggered_transitions)
      248    0.001    0.000    0.002    0.000 _connection.py:260(_process_event)
      248    0.000    0.000    0.001    0.000 _state.py:275(process_event)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      245    0.001    0.000    0.760    0.003 http11.py:209(_receive_event)
      245    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
      244    0.000    0.000    0.080    0.000 _models.py:935(iter_raw)
      244    0.000    0.000    0.085    0.000 _models.py:884(iter_bytes)
      244    0.000    0.000    0.079    0.000 http11.py:196(_receive_response_body)
      244    0.000    0.000    0.079    0.000 http11.py:330(__iter__)
      244    0.000    0.000    0.080    0.000 connection_pool.py:401(__iter__)
      244    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      244    0.000    0.000    0.080    0.000 default.py:125(__iter__)
      244    0.000    0.000    0.080    0.000 _client.py:152(__iter__)
      243    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      243    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      243    0.000    0.000    0.004    0.000 _decoders.py:95(decode)
      242    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      242    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      237    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
    236/6    0.001    0.000    0.244    0.041 <frozen importlib._bootstrap>:911(_load_unlocked)
  236/233    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      236    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      235    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      235    0.000    0.000    0.002    0.000 typing_extensions.py:3029(_collect_parameters)
      235    0.000    0.000    0.001    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      224    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      218    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      218    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
  215/175    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      213    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
  212/149    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
  210/204    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      209    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      209    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
      209    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      209    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      209    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      209    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      209    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    209/6    0.000    0.000    0.243    0.041 <frozen importlib._bootstrap_external>:989(exec_module)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      209    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      196    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      195    0.001    0.000    0.061    0.000 _parser.py:969(parse)
      195    0.001    0.000    0.009    0.000 _compiler.py:511(_compile_info)
      195    0.001    0.000    0.104    0.001 _compiler.py:740(compile)
      195    0.000    0.000    0.042    0.000 _compiler.py:573(_code)
      195    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      195    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      195    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      194    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      189    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      187    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
      185    0.000    0.000    0.007    0.000 _parser.py:98(closegroup)
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      182    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      170    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      164    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
      143    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      143    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      142    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:385(freeze)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      135    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      135    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
   132/99    0.000    0.000    0.005    0.000 typing.py:508(__getitem__)
      130    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      130    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      128    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      123    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      121    0.003    0.000    0.005    0.000 _compiler.py:467(_get_charset_prefix)
      118    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      118    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      118    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      114    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 element.py:2754(<genexpr>)
      112    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
      111    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      109    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
      105    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      104    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      104    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       99    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       99    0.000    0.000    0.005    0.000 typing.py:687(Union)
       98    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       98    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       98    0.000    0.000    0.000    0.000 element.py:1121(<genexpr>)
       98    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
       98    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
       98    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       95    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
       95    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       91    0.000    0.000    0.000    0.000 typing_extensions.py:2916(_check_generic)
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       90    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       89    0.000    0.000    0.007    0.000 dataclasses.py:449(_create_fn)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       86    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       84    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
       83    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
       81    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       81    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       78    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
       76    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
    74/57    0.000    0.000    0.080    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       74    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       70    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       70    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
